epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,626.793,1.49377,2.52728,1.61757,0.61375,0.56299,0.57073,0.2687,1.66441,1.92499,1.84453,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,1236.77,1.42903,1.60591,1.52898,0.54721,0.57132,0.54038,0.23353,1.8043,1.8365,1.95795,0.0193215,0.00644049,0.0193215,0.00644049,0.0193215,0.00644049,0.0193215,0.00644049
3,1819.12,1.49376,1.56024,1.57749,0.51652,0.55722,0.518,0.21847,1.91387,1.8175,1.99484,0.0280021,0.00933404,0.0280021,0.00933404,0.0280021,0.00933404,0.0280021,0.00933404
4,2399.16,1.48322,1.49742,1.57541,0.58755,0.57301,0.56771,0.2598,1.75445,1.71501,1.88353,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2950.2,1.41336,1.36492,1.52161,0.69981,0.72003,0.75543,0.38546,1.57097,1.22265,1.6869,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3511.13,1.36485,1.27728,1.48808,0.72958,0.73508,0.78609,0.42288,1.46267,1.13434,1.60331,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4071.05,1.33311,1.22858,1.46312,0.78486,0.72657,0.8012,0.44409,1.4479,1.06239,1.57531,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4649.99,1.31487,1.17926,1.44606,0.77015,0.73932,0.8174,0.46394,1.4028,1.0456,1.53548,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,5220.01,1.29378,1.15469,1.42691,0.77794,0.76741,0.84755,0.48658,1.36481,0.99253,1.49917,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5762.67,1.27314,1.12824,1.41711,0.76683,0.80327,0.85524,0.50292,1.33942,0.95133,1.46565,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,6335.52,1.26037,1.10361,1.40695,0.74171,0.8071,0.85693,0.51589,1.30784,0.93394,1.44169,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,6912.94,1.24745,1.08255,1.39295,0.76181,0.8392,0.87298,0.5321,1.27875,0.90829,1.4123,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,7481.1,1.23227,1.0613,1.38436,0.8041,0.80232,0.87589,0.54142,1.25934,0.89895,1.4045,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,8051.74,1.22131,1.04644,1.37606,0.7809,0.81201,0.87656,0.54332,1.25119,0.87604,1.3878,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,8590.42,1.21378,1.02498,1.36674,0.77074,0.82631,0.87756,0.55006,1.23592,0.86389,1.37772,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,9132.04,1.19879,1.01175,1.3598,0.77853,0.83258,0.88485,0.55931,1.22244,0.84672,1.36496,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,9685.18,1.1894,0.99886,1.35337,0.76828,0.84158,0.8838,0.56302,1.21065,0.83617,1.35543,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,10235.9,1.18146,0.97786,1.34174,0.77626,0.83705,0.88758,0.56982,1.19886,0.81646,1.34402,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,10806.1,1.16931,0.97138,1.3359,0.76449,0.84804,0.88873,0.57072,1.19561,0.81673,1.3414,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,11365.4,1.16049,0.96354,1.33135,0.77341,0.85389,0.89303,0.57834,1.18617,0.80091,1.33261,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,11853.5,1.25065,0.84919,1.43159,0.78708,0.84033,0.89599,0.5864,1.16746,0.79353,1.32453,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,12334.9,1.2232,0.8252,1.41284,0.79253,0.82871,0.89727,0.59262,1.14819,0.77416,1.31472,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,12817.3,1.20693,0.80771,1.40258,0.79136,0.8335,0.89911,0.59737,1.13307,0.76679,1.30346,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,13299.5,1.18853,0.7911,1.39019,0.77557,0.85076,0.89802,0.59996,1.12299,0.75859,1.29526,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,13784.8,1.17467,0.77564,1.37704,0.78166,0.84619,0.90008,0.60415,1.11425,0.74804,1.28842,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,14274.5,1.15791,0.76581,1.36735,0.78155,0.84278,0.90031,0.60826,1.10598,0.74163,1.28141,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
